DST,MOPH
abacavir/lamiVUDine/zidovudine 300-150-300 mg Oral Tabs,Abacavir 300mg
abatacept 250 mg intravenous Powder for Injection,"Abacavir 300mg + Lamivudine
 150mg + Zidovudine 300mg "
acarbose 50 mg Tab 50 mg Oral Tab,"Abacavir sulphate20mg/ml
 "
acetaminophen (paracet) 120 mg /5 ml oral flavored syrup 100 ml,Abiraterone Acetate 250mg
acetaminophen (paracet) 120 mg rectal supp,"Acetaminophen 250 mg , Caffeine
 65 mg, Acetyl Salicylic Acid
 250 mg  "
acetaminophen (paracet) 240 mg /5 ml oral flavored syrup 100 ml,"Acetaminophen 500mg , Caffeine
 65 mg   "
acetaminophen (paracet) 250 mg rectal supp,Acetyl Salicylic acid 100 mg
acetaminophen (paracet) 500 mg rectal supp,Acetyl Salicylic acid 100 mg
acetaminophen (paracetamol) 10 mg /mL intravenous solution for injection 100 mL,Acetyl Salicylic acid 100 mg
acetaminophen (Paracetamol) 325 mg Oral Tab,Acetyl Salicylic acid 100 mg
acetaminophen (Paracetamol) 500 mg Oral Tab,"Acetyl Salicylic acid 400 mg, Ascorbic acid 240 mg"
acetaminophen (Paracetamol) 80 mg Oral Tab,"Acetyl Saliclic acid 500 mg
  "
acetazolamide 250 mg Oral Tab,Acetylcysteine 200mg
acetaZOLAMIDE 500 mg intravenous powder for injection,Acetylcysteine 600mg
acetylcholine chloride 20 mg Opth Inj 2 mL 20 MG ophthalmic injection 2 ml,Aciclovir 200mg
acetylcysteine 20% 200 mg /mL inhalation solution 30 mL,Aciclovir 200mg
acetylcysteine 200 mg /mL intravenous solution for injection 30 mL,Aciclovir 200mg
aciclovir 200 mg Oral Tab,Aciclovir 400 mg
aciclovir 400 mg Oral Tab,Aciclovir 400 mg/tabl.
acitretin 25 mg Oral Cap,Aciclovir 400mg
activated charcoal 50 g Oral Powder,Aciclovir 400mg
activated charcoal-sorbitol 25-48 gm - Oral Suspension 120 Ml,Aciclovir 400mg
acyclovir 200 mg / 5 ml oral flavored syrup 125 ml,Aciclovir 400mg/5ml
acyclovir 250 mg intravenous powder for injection,Aciclovir 5%
acyclovir 3 % ophthalmic ointment 4.5 g,Aciclovir 5%
acyclovir 5 % topical cream 10 g,ACICLOVIR 5% W/W
acyclovir 3 % ophthalmic ointment 5 g,Aciclovir 5% w/w
acyclovir 5 % topical cream 2 g,Aciclovir 5% w/w
adalimumab 20 mg / 0.2 mL subcutaneous syringe 0.2 mL,Aciclovir 5% w/w
adalimumab 40 mg / 0.4 mL subcutaneous syringe 0.4 mL,Aciclovir 800 mg
adalimumab 40 mg /0.4 mL subcutaneous syringe 0.4 mL,Aciclovir 800mg
